train_size0,train_size1,train_size2,test_size0,test_size1,test_size2,train_imb0,train_imb1,train_imb2,test_imb0,test_imb1,test_imb2
24,32,24,16,8,16,0.833333333,0.84375,0.875,0.875,0.875,0.8125
9,42,39,36,3,6,0.555555556,0.5,0.512820513,0.5,0.666666667,0.5
53,30,51,14,37,16,0.773584906,0.6,0.843137255,0.714285714,0.891891892,0.5
85,69,36,10,26,59,0.929411765,0.971014493,0.833333333,0.9,0.807692308,0.983050847
52,37,59,22,37,15,0.865384615,0.891891892,0.847457627,0.863636364,0.837837838,0.933333333
40,64,66,45,21,19,0.925,0.859375,0.878787879,0.844444444,0.952380952,0.894736842
61,79,62,40,22,39,0.442622951,0.518987342,0.419354839,0.5,0.272727273,0.538461538
76,32,70,13,57,19,0.815789474,0.75,0.828571429,0.769230769,0.842105263,0.736842105
49,49,52,26,26,23,0.571428571,0.489795918,0.538461538,0.461538462,0.615384615,0.52173913
72,54,76,29,47,25,0.180555556,0.166666667,0.157894737,0.137931034,0.170212766,0.2
69,58,83,36,47,22,0.898550725,0.896551724,0.915662651,0.916666667,0.914893617,0.863636364
65,70,65,35,30,35,0.892307692,0.871428571,0.938461538,0.914285714,0.966666667,0.828571429
57,48,53,22,31,26,0.368421053,0.375,0.358490566,0.363636364,0.35483871,0.384615385
61,79,62,40,22,39,0.459016393,0.493670886,0.403225806,0.45,0.318181818,0.538461538
49,51,46,24,22,27,0.489795918,0.37254902,0.369565217,0.25,0.5,0.481481481
51,50,57,28,29,22,0.352941176,0.36,0.245614035,0.25,0.24137931,0.5
52,52,60,30,30,22,0.346153846,0.442307692,0.416666667,0.5,0.333333333,0.363636364
67,66,75,37,38,29,0.880597015,0.909090909,0.92,0.945945946,0.894736842,0.862068966
61,79,62,40,22,39,0.475409836,0.518987342,0.419354839,0.475,0.318181818,0.564102564
74,69,73,34,39,35,0.837837838,0.826086957,0.863013699,0.852941176,0.871794872,0.8
68,74,60,33,27,41,0.161764706,0.175675676,0.233333333,0.242424242,0.222222222,0.12195122
68,74,60,33,27,41,0.441176471,0.459459459,0.4,0.424242424,0.37037037,0.487804878
64,59,65,30,35,29,0.203125,0.186440678,0.215384615,0.2,0.228571429,0.172413793
72,64,66,29,37,35,0.208333333,0.125,0.166666667,0.068965517,0.243243243,0.171428571
60,56,62,29,33,27,0.333333333,0.321428571,0.322580645,0.310344828,0.333333333,0.333333333
68,65,69,33,36,32,0.705882353,0.753846154,0.739130435,0.787878788,0.694444444,0.71875
75,76,63,32,31,44,0.213333333,0.118421053,0.142857143,0.03125,0.258064516,0.181818182
67,48,81,31,50,17,0.791044776,0.6875,0.716049383,0.612903226,0.78,0.823529412
58,72,70,42,28,30,0.482758621,0.444444444,0.514285714,0.476190476,0.571428571,0.4
69,68,73,36,37,32,0.739130435,0.794117647,0.780821918,0.833333333,0.72972973,0.75
63,75,68,40,28,35,0.53968254,0.626666667,0.602941176,0.675,0.5,0.571428571
69,73,72,38,34,35,0.695652174,0.684931507,0.694444444,0.684210526,0.705882353,0.685714286
17,22,25,15,10,7,0.764705882,0.772727273,0.88,0.866666667,0.9,0.571428571
77,56,81,30,51,26,0.961038961,0.928571429,0.938271605,0.9,0.960784314,0.961538462
59,24,59,12,47,12,0.627118644,0.291666667,0.677966102,0.416666667,0.744680851,0.166666667
54,49,53,24,29,25,0.388888889,0.346938776,0.339622642,0.291666667,0.379310345,0.4
82,85,11,7,4,78,0.914634146,0.917647059,0.818181818,0.857142857,0.75,0.923076923
52,42,66,28,38,14,0.365384615,0.214285714,0.272727273,0.142857143,0.368421053,0.357142857
39,29,36,13,23,16,0.41025641,0.586206897,0.583333333,0.846153846,0.434782609,0.375
24,54,58,44,14,10,0.833333333,0.944444444,0.948275862,0.977272727,0.857142857,0.8
60,54,60,27,33,27,0.416666667,0.481481481,0.383333333,0.444444444,0.333333333,0.518518519
38,38,20,10,10,28,0.105263158,0.105263158,0.1,0.1,0.1,0.107142857
65,62,61,29,32,33,0.353846154,0.338709677,0.327868852,0.310344828,0.34375,0.363636364
68,61,65,29,36,32,0.058823529,0.06557377,0.030769231,0.034482759,0.027777778,0.09375
51,51,40,20,20,31,0.333333333,0.274509804,0.225,0.15,0.3,0.35483871
71,45,104,39,65,6,0.154929577,0.088888889,0.125,0.076923077,0.153846154,0.166666667
59,93,48,41,7,52,0.949152542,0.967741935,0.958333333,0.975609756,0.857142857,0.961538462
67,60,67,30,37,30,0.373134328,0.45,0.358208955,0.433333333,0.297297297,0.466666667
52,49,51,24,27,25,0.461538462,0.387755102,0.490196078,0.416666667,0.555555556,0.36
54,52,62,30,32,22,0.388888889,0.326923077,0.322580645,0.266666667,0.375,0.409090909
44,48,54,29,25,19,0.318181818,0.375,0.37037037,0.413793103,0.32,0.315789474
73,67,68,31,37,36,0.465753425,0.343283582,0.455882353,0.322580645,0.567567568,0.361111111
58,51,59,26,33,25,0.344827586,0.392156863,0.372881356,0.423076923,0.333333333,0.36
66,61,63,29,34,32,0.424242424,0.409836066,0.396825397,0.379310345,0.411764706,0.4375
58,55,53,25,28,30,0.75862069,0.709090909,0.735849057,0.68,0.785714286,0.733333333
74,67,77,35,42,32,0.837837838,0.880597015,0.87012987,0.914285714,0.833333333,0.84375
85,72,53,20,33,52,0.235294118,0.138888889,0.301886792,0.15,0.393939394,0.134615385
63,61,60,29,31,32,0.428571429,0.459016393,0.516666667,0.551724138,0.483870968,0.375
62,94,84,58,26,36,0.903225806,0.914893617,0.904761905,0.913793103,0.884615385,0.916666667
55,51,50,23,27,28,0.527272727,0.490196078,0.48,0.434782609,0.518518519,0.535714286
