"","fold0","fold1","fold2"
"CHEMBL1614338",0.7857142857,0.4285714286,0.8205128205
"CHEMBL1243971",0.6512345679,0,0.4444444444
"CHEMBL1614044",0.75,0.6439393939,0.296875
"CHEMBL2045986",0.6666666667,0.6857142857,0.9827586207
"CHEMBL618396",0.9122807018,0.9032258065,1
"CHEMBL3079731",0.507518797,0.5,0.8823529412
"CHEMBL1794498",0.875,0.9166666667,0.8042328042
"CHEMBL2091156",0.9333333333,0.900462963,0.7285714286
"CHEMBL2363253",0.6488095238,0.5875,0.6590909091
"CHEMBL1738192",0.65,0.6442307692,0.55
"CHEMBL1614154",0.8888888889,0.5581395349,1
"CHEMBL1964055",0.7291666667,0.9310344828,0.5747126437
"CHEMBL2363800",0.8392857143,0.4363636364,0.6
"CHEMBL1794420",0.7297979798,0.9238095238,0.9259259259
"CHEMBL2363263",0.6759259259,0.6363636364,0.4835164835
"CHEMBL2363552",0.7142857143,0.5844155844,0.6198347107
"CHEMBL2363168",0.5555555556,0.765,0.5357142857
"CHEMBL3214806",0.8,0.6323529412,0.81
"CHEMBL1794455",0.6992481203,0.9428571429,0.8796791444
"CHEMBL1613998",0.8689655172,0.5882352941,0.4081632653
"CHEMBL1614056",0.745,0.5396825397,0.7
"CHEMBL1613903",0.507518797,0.3941176471,0.419047619
"CHEMBL2363184",0.6527777778,0.4953703704,0.8166666667
"CHEMBL1738619",0.5185185185,0.6865079365,0.7183908046
"CHEMBL2363227",0.6722222222,0.5041322314,0.7098765432
"CHEMBL1738514",0.4835164835,0.3672727273,0.2560386473
"CHEMBL2114927",0.4516129032,0.5489130435,0.5104166667
"CHEMBL763093",0.8070175439,0.6876456876,0.8095238095
"CHEMBL1614525",0.6431818182,0.671875,0.8518518519
"CHEMBL2114803",0.8111111111,0.7222222222,0.7395833333
"CHEMBL1613775",0.7777777778,0.8010204082,0.7266666667
"CHEMBL1614373",0.6858974359,0.5333333333,0.6212121212
"CHEMBL1614070",0.4230769231,0.3333333333,0.75
"CHEMBL1026934",0.7160493827,0.9897959184,0.76
"CHEMBL1026933",1,1,1
"CHEMBL2363723",0.6386554622,0.4292929293,0.6666666667
"CHEMBL864855",1,1,0.650462963
"CHEMBL772766",0.9270833333,0.4761904762,0.4222222222
"CHEMBL806152",0.7727272727,0.9307692308,0.6833333333
"CHEMBL1613812",0.3023255814,0.7916666667,0
"CHEMBL2363265",0.6444444444,0.5950413223,0.7307692308
"CHEMBL1024480",0.6666666667,0,0.3466666667
