"","fold0","fold1","fold2"
"CHEMBL1614338",0.4642857,0.5714286,0.4102564
"CHEMBL1243971",0.5,0,0.6666667
"CHEMBL1614044",0.65,0.7121212,0.59375
"CHEMBL2045986",1,0.9047619,1
"CHEMBL618396",0.9824561,1,1
"CHEMBL3079731",0.6240602,0.9,0.9705882
"CHEMBL1794498",0.92,0.9166667,0.973545
"CHEMBL2091156",0.8,0.8888889,0.9714286
"CHEMBL2363253",0.5357143,0.56875,0.6666667
"CHEMBL1738192",0.58,0.6794872,1
"CHEMBL1614154",0.959596,0.8372093,0.8596491
"CHEMBL1964055",0.34375,0.6896552,0.8563218
"CHEMBL2363800",0.7678571,0.5409091,0.8
"CHEMBL1794420",0.8535354,0.9238095,0.9444444
"CHEMBL2363263",0.5648148,0.4958678,0.5384615
"CHEMBL2363552",0.6122449,0.6818182,0.5867769
"CHEMBL2363168",0.5777778,0.59,0.5446429
"CHEMBL3214806",0.9285714,0.4338235,0.58
"CHEMBL1794455",0.9373434,0.9428571,0.9705882
"CHEMBL1613998",0.7655172,0.6235294,0.6734694
"CHEMBL1614056",0.665,0.6349206,0.5777778
"CHEMBL1613903",0.4774436,0.7588235,0.5928571
"CHEMBL2363184",0.6805556,0.7083333,0.6083333
"CHEMBL1738619",0.6666667,0.7063492,0.6321839
"CHEMBL2363227",0.7333333,0.5702479,0.7222222
"CHEMBL1738514",0.4725275,0.3709091,0.4589372
"CHEMBL2114927",0.5806452,0.5434783,0.4965278
"CHEMBL763093",0.7807018,0.6923077,0.9047619
"CHEMBL1614525",0.6613636,0.7395833,0.8194444
"CHEMBL2114803",0.8166667,0.5962963,0.765625
"CHEMBL1613775",0.7891738,0.9591837,0.6366667
"CHEMBL1614373",0.5032051,0.4208333,0.7083333
"CHEMBL1614070",0.4230769,1,0.3333333
"CHEMBL1026934",0.7901235,0.7346939,0.48
"CHEMBL1026933",0.9428571,1,0.95
"CHEMBL2363723",0.5966387,0.6717172,0.62
"CHEMBL864855",1,0.6666667,0.9097222
"CHEMBL772766",0.7083333,0.6547619,0.6222222
"CHEMBL806152",1,0.7461538,0.4166667
"CHEMBL1613812",0.9767442,0.7916667,1
"CHEMBL2363265",0.6388889,0.553719,0.6208791
"CHEMBL1024480",0.6666667,0.1111111,0.02666667
"CHEMBL2363541",0.6611111,0.3852814,0.484127
"CHEMBL1614177",0.7142857,0.5714286,0.6551724
"CHEMBL1804798",0.8431373,0.9047619,0.8409091
"CHEMBL3111191",0.537037,0.2436364,0
"CHEMBL1031359",0.975,0.8333333,1
"CHEMBL2363544",0.5837104,0.6748252,0.5848214
"CHEMBL2363339",0.7928571,0.7277778,0.7916667
"CHEMBL2363169",0.8011364,0.6458333,0.6324786
"CHEMBL2363165",0.6470588,0.7867647,0.6025641
"CHEMBL1738313",0.8666667,0.7142857,0.632107
"CHEMBL2363531",0.6121212,0.6322314,0.6458333
"CHEMBL2363621",0.6919192,0.7035714,0.6666667
"CHEMBL1614265",0.6029412,0.4924242,0.5056818
"CHEMBL1738092",0.3645833,0.4612245,0.4592593
"CHEMBL1614380",0.7254902,0.9057692,0.4793651
"CHEMBL2363420",0.6778846,0.5791667,0.7041667
"CHEMBL2354307",0.3339623,0.2898551,0.1111111
"CHEMBL2363375",0.2923077,0.6098901,0.6307692
"CHEMBL1738423",0.8125,0.6256684,0.75
"CHEMBL3214828",0.8428094,0.7719298,0.8327273
"CHEMBL2114883",0.7222222,0.5493421,0.5248869
"CHEMBL1614408",0.5173611,0.4952381,0.3865546
"CHEMBL872182",1,0.984375,0.8800905
"CHEMBL2363299",0.6060606,0.6680672,0.6909091
"CHEMBL1820680",0.8666667,0.7579365,1
"CHEMBL663474",0.7552239,1,1
"CHEMBL2363268",0.6901961,0.6220736,0.5044643
"CHEMBL2363393",0.6597222,0.6166667,0.5245098
"CHEMBL1737862",0.7777778,0.9946809,0.8266667
"CHEMBL2363642",0.5333333,0.5461538,0.6844444
"CHEMBL3215144",0.5129032,0.7166667,0.7419355
"CHEMBL2363467",0.6363636,0.7222222,0.6989796
"CHEMBL2363174",0.6885965,0.6816609,0.6561086
"CHEMBL1614417",0.4814815,0.5175439,0.5683761
"CHEMBL1614539",0.5526316,0.6315789,0.9
"CHEMBL1738684",0.8518519,0.6176471,0.7580645
"CHEMBL3214981",0.5673469,0.28125,0.3823529
"CHEMBL2363321",0.5279503,0.7928571,0.52657
"CHEMBL3111197",0.4274194,0.3433333,0.4
"CHEMBL2114718",0.3722222,0.4407895,0.5923077
"CHEMBL1963857",0.8888889,0.9334975,0.7373737
"CHEMBL2363453",0.6875,0.4272727,0.75
"CHEMBL2363176",0.452381,0.6578947,0.5882353
"CHEMBL1963849",0.9285714,0.6607143,0.5524691
"CHEMBL1614210",0.5684211,0.51375,0.589372
"CHEMBL2354260",0.7374582,0.5595238,0.5357143
"CHEMBL2363449",0.8133333,0.3677419,0.6217949
"CHEMBL1614482",0.9161491,0.756,0.6815476
"CHEMBL1614220",0.7338877,0.75,0.7478261
"CHEMBL2114914",0.75,0.6614583,0.6313131
"CHEMBL2363438",0.4960938,0.638009,0.4761905
"CHEMBL1613956",0.4920635,0.6655348,0.474026
"CHEMBL1613806",0.9092308,0.6666667,0.797619
"CHEMBL1614450",0.4583333,0.4652778,0.2592593
"CHEMBL1167052",0.5,0.3333333,1
"CHEMBL1002712",0.9652778,0.8985507,1
"CHEMBL3111194",0.3235294,0.5230263,1
"CHEMBL1613859",0.6607143,0.3731884,0.3369565
"CHEMBL2363146",0.821256,0.712963,0.5928571
"CHEMBL2363395",0.6326531,0.48,0.6985646
"CHEMBL938648",0.904321,0.8076923,0.7777778
"CHEMBL1613980",0.5121951,0.4873737,0.08333333
"CHEMBL2363581",0.6136364,0.6842105,0.7731481
"CHEMBL3215132",0.4189189,0.671875,0.5967742
"CHEMBL1614267",0.4702381,0.5925926,0.5289256
"CHEMBL2363277",0.5357143,0.6568627,0.6809524
"CHEMBL3111192",0.5571429,0.4265537,1
"CHEMBL3111198",0.6451613,0.7267157,0.7777778
"CHEMBL2363153",0.3605442,0.45,0.5906433
"CHEMBL2363197",0.5694444,0.7797619,0.7102273
"CHEMBL2363371",0.6578947,0.5458333,0.5
"CHEMBL2363734",0.7121212,0.6324786,0.6117647
"CHEMBL1614478",0.2952381,0.5,0.6111111
"CHEMBL2363336",0.7619048,0.6926407,0.6477273
"CHEMBL3111195",0.8103448,0.6386555,0.5
"CHEMBL2363278",0.6208333,0.6940789,0.5507812
"CHEMBL2363351",0.4882353,0.5625,0.3872549
"CHEMBL2363391",0.6639676,0.7727273,0.6470588
"CHEMBL2363326",0.7291667,0.65,0.5551471
"CHEMBL2363328",0.6888889,0.6388889,0.7361111
"CHEMBL2363330",0.4494949,0.6313131,0.53125
"CHEMBL2363364",0.7025862,0.5636364,0.677686
"CHEMBL2363333",0.7272727,0.5994398,0.6745098
"CHEMBL2363148",0.7020202,0.6956522,0.5123967
"CHEMBL2363264",0.6904762,0.5,0.5793651
"CHEMBL2363283",0.5056818,0.6196078,0.496732
"CHEMBL2363660",0.5296296,0.5772947,0.5190476
"CHEMBL2363307",0.5568182,0.4736842,0.5512821
"CHEMBL2363247",0.6414141,0.6814815,0.6538462
"CHEMBL2363465",0.7826087,0.7083333,0.68
"CHEMBL2363225",0.6190476,0.6153846,0.7651822
"CHEMBL2363468",0.668,0.6730769,0.6220096
"CHEMBL2114826",0.553125,0.6974359,0.6666667
"CHEMBL3215266",0.2886792,0.2608696,0.1414141
"CHEMBL2363731",0.6083916,0.6618182,0.4258373
"CHEMBL1614479",0.8877551,0.9206349,0.7037037
"CHEMBL3214782",0.4411765,0.3467742,0.4814815
"CHEMBL1614273",0.6277778,0.5806897,0.5490196
"CHEMBL1794400",0.5740741,0.61,0.6577381
"CHEMBL2363728",0.5336134,0.6162281,0.6125
"CHEMBL2363568",0.6375,0.5870445,0.6534091
"CHEMBL2363353",0.7782805,0.6361111,0.7327935
"CHEMBL2363230",0.4659091,0.5923077,0.4444444
"CHEMBL1670561",0.5294118,0.4653846,0.7610837
"CHEMBL1614518",0.491358,0.468599,0.5666667
"CHEMBL2363739",0.4129555,0.5204678,0.5808081
"CHEMBL2363558",0.5666667,0.4971591,0.5857143
"CHEMBL2363322",0.6863636,0.5987654,0.6942149
"CHEMBL2363753",0.6230159,0.5935673,0.5223214
"CHEMBL2363348",0.6636364,0.421875,0.5708502
"CHEMBL1614321",0.6304348,0.453202,0.4866667
"CHEMBL2363337",0.7288889,0.6194444,0.635
"CHEMBL2363228",0.6703297,0.8205128,0.7527473
"CHEMBL2363504",0.51417,0.6575,0.6470588
"CHEMBL2363664",0.6796537,0.5666667,0.4875
"CHEMBL2363269",0.4581818,0.4518717,0.4419643
"CHEMBL1613893",0.8278061,0.8757764,0.7354497
"CHEMBL1614345",0.5384615,0.5295139,0.634375
"CHEMBL2363442",0.6725146,0.562753,0.6717172
"CHEMBL2363317",0.6477733,0.625,0.6071429
"CHEMBL2363432",0.5166667,0.6755853,0.7098039
"CHEMBL1614376",0.296875,0.6818182,0.7096774
"CHEMBL2363403",0.5225564,0.457672,0.5538462
"CHEMBL1614355",0.7575758,0.7368421,0.6666667
"CHEMBL2363593",0.3383838,0.4722222,0.5080214
"CHEMBL2363414",0.4258373,0.5852941,0.59375
"CHEMBL1614226",0.6935484,0.7597403,0.7788462
"CHEMBL2363444",0.2910053,0.4563492,0.4940476
"CHEMBL1738246",1,0.5127273,0.8122605
"CHEMBL2363697",0.55,0.6923077,0.4619883
"CHEMBL2363725",0.5588235,0.55625,0.6296296
"CHEMBL2363572",0.7045455,0.7380952,0.7264957
"CHEMBL2363189",0.5131579,0.7555556,0.5648148
"CHEMBL2363799",0.7692308,0.6212121,0.6714286
"CHEMBL2363628",0.7198276,0.7460317,0.7307692
"CHEMBL2363489",0.6588235,0.4871795,0.6444444
"CHEMBL2363426",0.6857143,0.5583333,0.6483516
"CHEMBL1738575",0.7411765,0.7214286,0.6859717
"CHEMBL2363836",0.5454545,0.5263158,0.582996
"CHEMBL2363789",0.7120743,0.5124224,0.6490385
"CHEMBL2363553",0.6160991,0.5416667,0.7142857
