"","fold0","fold1","fold2"
"CHEMBL1614338",0.9285714286,0.2857142857,0.358974359
"CHEMBL1243971",0.9197530864,0,0.6666666667
"CHEMBL1614044",0.425,0.4242424242,0.078125
"CHEMBL2045986",1,0.8095238095,0
"CHEMBL618396",0.8947368421,0.9569892473,1
"CHEMBL3079731",0.9285714286,0.55,0.8823529412
"CHEMBL1794498",0.89,0.9166666667,0.9047619048
"CHEMBL2091156",0.7666666667,0.9074074074,0.7285714286
"CHEMBL2363253",0.6726190476,0.38125,0.6363636364
"CHEMBL1738192",0.36,0.483974359,0.15
"CHEMBL1614154",0.9494949495,1,0.9473684211
"CHEMBL1964055",0.6875,0.1379310345,0.6091954023
"CHEMBL2363800",0.6607142857,0.2590909091,0.70625
"CHEMBL1794420",0.8737373737,0.8476190476,0.8386243386
"CHEMBL2363263",0.6203703704,0.2561983471,0.7362637363
"CHEMBL2363552",0.6054421769,0.4025974026,0.6198347107
"CHEMBL2363168",0.4311111111,0.675,0.6339285714
"CHEMBL3214806",0.8857142857,0.7573529412,0.58
"CHEMBL1794455",0.9097744361,0.8666666667,0.8957219251
"CHEMBL1613998",0.5793103448,0.6764705882,0.5102040816
"CHEMBL1614056",0.595,0.4523809524,0.7055555556
"CHEMBL1613903",0.522556391,0.6117647059,0.5333333333
"CHEMBL2363184",0.4722222222,0.3148148148,0.3166666667
"CHEMBL1738619",0.5555555556,0.2619047619,0.7873563218
"CHEMBL2363227",0.5111111111,0.3388429752,0.537037037
"CHEMBL1738514",0.7637362637,0.3781818182,0.4154589372
"CHEMBL2114927",0.0322580645,0.4836956522,0.4861111111
"CHEMBL763093",0.6184210526,0.68997669,0.7857142857
"CHEMBL1614525",0.5590909091,0.3333333333,0.7222222222
"CHEMBL2114803",0.6222222222,0.5037037037,0.6822916667
"CHEMBL1613775",0.5071225071,0.6887755102,0.59
"CHEMBL1614373",0.5801282051,0.6041666667,0.6212121212
"CHEMBL1614070",0.9230769231,0.3333333333,0.5833333333
"CHEMBL1026934",0.8395061728,0.5408163265,0.84
"CHEMBL1026933",1,0.7404761905,0.95
"CHEMBL2363723",0.6554621849,0.202020202,0.5266666667
"CHEMBL864855",0.8333333333,0.3333333333,0.625
"CHEMBL772766",0.71875,0.369047619,0.2888888889
"CHEMBL806152",0.2272727273,0.4307692308,0.7333333333
"CHEMBL1613812",0.9534883721,0.4166666667,0.625
"CHEMBL2363265",0.7,0.4669421488,0.7582417582
"CHEMBL1024480",0.4444444444,0,0.3466666667
"CHEMBL2363541",0.5277777778,0.2640692641,0.623015873
"CHEMBL1614177",0.4285714286,0.7428571429,0.5172413793
"CHEMBL1804798",0.8235294118,0.2976190476,0.5590909091
"CHEMBL3111191",0.7222222222,0.22,1
"CHEMBL1031359",0.975,0.5,0.79
"CHEMBL2363544",0.5248868778,0.5314685315,0.6741071429
"CHEMBL2363339",0.7428571429,0.3944444444,0.6597222222
"CHEMBL2363169",0.5227272727,0.3958333333,0.6923076923
"CHEMBL2363165",0.5294117647,0.5073529412,0.7435897436
"CHEMBL1738313",0.6904761905,0.4910714286,0.7224080268
"CHEMBL2363531",0.696969697,0.3719008264,0.5486111111
"CHEMBL2363621",0.6363636364,0.3642857143,0.6587301587
"CHEMBL1614265",0.1691176471,0.3484848485,0.4943181818
"CHEMBL1738092",0.5104166667,0.4285714286,0.5703703704
"CHEMBL1614380",0.7254901961,0.7269230769,0.5555555556
"CHEMBL2363420",0.5913461538,0.5041666667,0.575
"CHEMBL2354307",0.4641509434,0.5362318841,0.101010101
"CHEMBL2363375",0.4769230769,0.3846153846,0.6102564103
"CHEMBL1738423",0.7,0.6381461676,0.5288461538
"CHEMBL3214828",0.5852842809,0.5538847118,0.8581818182
"CHEMBL2114883",0.6666666667,0.4671052632,0.4819004525
"CHEMBL1614408",0.6875,0.5,0.5294117647
"CHEMBL872182",1,0.9791666667,0.7330316742
"CHEMBL2363299",0.6919191919,0.5168067227,0.5757575758
"CHEMBL1820680",0.6,0.8055555556,1
"CHEMBL663474",0.7014925373,0.3636363636,1
"CHEMBL2363268",0.5960784314,0.3712374582,0.5892857143
"CHEMBL2363393",0.6736111111,0.27,0.6666666667
"CHEMBL1737862",0.5438596491,0.8138297872,0.5155555556
"CHEMBL2363642",0.6,0.4730769231,0.6044444444
"CHEMBL3215144",0.2709677419,0.3296296296,0.2774193548
"CHEMBL2363467",0.6761363636,0.4277777778,0.5867346939
"CHEMBL2363174",0.649122807,0.339100346,0.6968325792
"CHEMBL1614417",0.7613168724,0.6257309942,0.5427350427
"CHEMBL1614539",0.3333333333,0.6052631579,0.4875
"CHEMBL1738684",0.3827160494,0.4264705882,0.5268817204
"CHEMBL3214981",0.4367346939,0.828125,0.7941176471
"CHEMBL2363321",0.5527950311,0.1714285714,0.4879227053
"CHEMBL3111197",0.564516129,0.5633333333,1
"CHEMBL2114718",0.9611111111,0.3585526316,0.5923076923
"CHEMBL1963857",0.6988304094,0.6428571429,0.5202020202
"CHEMBL2363453",0.53125,0.2818181818,0.7125
"CHEMBL2363176",0.7777777778,0.4375,0.7647058824
"CHEMBL1963849",0.9047619048,0.3137755102,0.5432098765
"CHEMBL1614210",0.5859649123,0.5625,0.7487922705
"CHEMBL2354260",0.5334448161,0.5317460317,0.6038961039
"CHEMBL2363449",0.4866666667,0.0903225806,0.5641025641
"CHEMBL1614482",0.7173913043,0.572,0.8333333333
"CHEMBL1614220",0.632016632,0.6388888889,0.552173913
"CHEMBL2114914",0.597826087,0.5451388889,0.5202020202
"CHEMBL2363438",0.625,0.3619909502,0.7142857143
"CHEMBL1613956",0.496031746,0.5161290323,0.5551948052
"CHEMBL1613806",0.7230769231,0.6176470588,0.8452380952
"CHEMBL1614450",0.2083333333,0.4722222222,0.8148148148
"CHEMBL1167052",0.861038961,0.3333333333,0.6666666667
"CHEMBL1002712",0.7569444444,0.8188405797,0.9564102564
"CHEMBL3111194",0.4470588235,0.4890350877,1
"CHEMBL1613859",0.5803571429,0.5869565217,0.3043478261
"CHEMBL2363146",0.6086956522,0.412037037,0.6857142857
"CHEMBL2363395",0.5714285714,0.4711111111,0.6315789474
"CHEMBL938648",0.6327160494,0.5512820513,0.4814814815
"CHEMBL1613980",0.6422764228,0.553030303,0.6833333333
"CHEMBL2363581",0.678030303,0.451754386,0.662037037
"CHEMBL3215132",0.1081081081,0.2875,0.4086021505
"CHEMBL1614267",0.6119047619,0.3981481481,0.6570247934
"CHEMBL2363277",0.5,0.4281045752,0.7
"CHEMBL3111192",0.6285714286,0.5056497175,1
"CHEMBL3111198",0.8225806452,0.4963235294,0.4444444444
"CHEMBL2363153",0.5986394558,0.6,0.8011695906
"CHEMBL2363197",0.4166666667,0.4880952381,0.6193181818
"CHEMBL2363371",0.5197368421,0.35,0.56
"CHEMBL2363734",0.5454545455,0.4230769231,0.7764705882
"CHEMBL1614478",0.6761904762,0.4330357143,0.6962962963
"CHEMBL2363336",0.5555555556,0.316017316,0.5113636364
"CHEMBL3111195",0.7172413793,0.5546218487,0.25
"CHEMBL2363278",0.7083333333,0.4868421053,0.75390625
"CHEMBL2363351",0.5470588235,0.525,0.6617647059
"CHEMBL2363391",0.6801619433,0.396969697,0.6848739496
"CHEMBL2363326",0.6916666667,0.3590909091,0.6838235294
"CHEMBL2363328",0.5592592593,0.3027777778,0.4791666667
"CHEMBL2363330",0.5909090909,0.4949494949,0.8035714286
"CHEMBL2363364",0.5862068966,0.3236363636,0.6818181818
"CHEMBL2363333",0.6545454545,0.3977591036,0.737254902
"CHEMBL2363148",0.5656565657,0.3586956522,0.6115702479
"CHEMBL2363264",0.5753968254,0.3492063492,0.5476190476
"CHEMBL2363283",0.4886363636,0.3098039216,0.7189542484
"CHEMBL2363660",0.6111111111,0.4637681159,0.680952381
"CHEMBL2363307",0.6306818182,0.3092105263,0.5769230769
"CHEMBL2363247",0.6919191919,0.4592592593,0.5769230769
"CHEMBL2363465",0.7053140097,0.3958333333,0.65
"CHEMBL2363225",0.6761904762,0.4615384615,0.7732793522
"CHEMBL2363468",0.6,0.3717948718,0.6172248804
"CHEMBL2114826",0.4625,0.558974359,0.6008230453
"CHEMBL3215266",0.4641509434,0.5362318841,0.101010101
"CHEMBL2363731",0.5,0.6145454545,0.5933014354
"CHEMBL1614479",0.4489795918,0.7380952381,0.5555555556
"CHEMBL3214782",0.4683257919,0.5564516129,0.3703703704
"CHEMBL1614273",0.5861111111,0.4910344828,0.6732026144
"CHEMBL1794400",0.5555555556,0.584,0.5089285714
"CHEMBL2363728",0.7983193277,0.5,0.625
"CHEMBL2363568",0.6833333333,0.5263157895,0.6477272727
"CHEMBL2363353",0.6334841629,0.375,0.6477732794
"CHEMBL2363230",0.5625,0.5807692308,0.708994709
"CHEMBL1670561",0.8823529412,0.5653846154,0.5541871921
"CHEMBL1614518",0.6296296296,0.6570048309,0.6666666667
"CHEMBL2363739",0.7206477733,0.5614035088,0.7373737374
"CHEMBL2363558",0.8041666667,0.5170454545,0.7285714286
"CHEMBL2363322",0.5545454545,0.3796296296,0.6363636364
"CHEMBL2363753",0.6428571429,0.3479532164,0.7008928571
"CHEMBL2363348",0.55,0.3125,0.7368421053
"CHEMBL1614321",0.4251207729,0.39408867,0.4966666667
"CHEMBL2363337",0.5333333333,0.3083333333,0.615
"CHEMBL2363228",0.6758241758,0.5179487179,0.6813186813
"CHEMBL2363504",0.5344129555,0.4,0.7009803922
"CHEMBL2363664",0.5930735931,0.5256410256,0.6333333333
"CHEMBL2363269",0.6509090909,0.3368983957,0.7455357143
"CHEMBL1613893",0.5969387755,0.8571428571,0.671957672
"CHEMBL1614345",0.4846153846,0.6024305556,0.5
"CHEMBL2363442",0.6900584795,0.4655870445,0.6060606061
"CHEMBL2363317",0.5748987854,0.3601190476,0.7008928571
"CHEMBL2363432",0.7083333333,0.474916388,0.7450980392
"CHEMBL1614376",0.9375,0.3818181818,0.4516129032
"CHEMBL2363403",0.6390977444,0.4206349206,0.6358974359
"CHEMBL1614355",0.6666666667,1,0.4444444444
"CHEMBL2363593",0.5656565657,0.375,0.7272727273
"CHEMBL2363414",0.7368421053,0.3735294118,0.71875
"CHEMBL1614226",0.7983870968,0.7251082251,0.5288461538
"CHEMBL2363444",0.6296296296,0.5952380952,0.7797619048
"CHEMBL1738246",0.5795454545,0.5345454545,0.6590038314
"CHEMBL2363697",0.7090909091,0.4358974359,0.6315789474
"CHEMBL2363725",0.7385620915,0.353125,0.6481481481
"CHEMBL2363572",0.6331168831,0.4119047619,0.7008547009
"CHEMBL2363189",0.8059210526,0.4285714286,0.7083333333
"CHEMBL2363799",0.5182186235,0.5189393939,0.7476190476
"CHEMBL2363628",0.5517241379,0.376984127,0.5769230769
"CHEMBL2363489",0.5235294118,0.4519230769,0.6777777778
"CHEMBL2363426",0.6047619048,0.4125,0.6098901099
"CHEMBL1738575",0.2205882353,0.2523809524,0.3886743887
"CHEMBL2363836",0.5863636364,0.3216374269,0.6396761134
"CHEMBL2363789",0.5417956656,0.4782608696,0.6778846154
"CHEMBL2363553",0.7182662539,0.5243055556,0.7087912088
"CHEMBL2363332",0.630952381,0.3591331269,0.76171875
"CHEMBL1614308",0.815625,0.5088566828,0.6656346749
"CHEMBL2363809",0.7380952381,0.4282051282,0.6147186147
"CHEMBL2363207",0.5884773663,0.392,0.6740740741
"CHEMBL2114827",0.9428571429,0.2015503876,0.2325581395
"CHEMBL1964046",0.4454545455,0.4056122449,0.5396825397
"CHEMBL1614462",0.5618729097,0.4556213018,0.3954248366
"CHEMBL2363671",0.6710526316,0.304,0.6222222222
"CHEMBL2363290",0.6367521368,0.3393939394,0.5877192982
"CHEMBL2363459",0.7118055556,0.6136363636,0.737654321
"CHEMBL2363611",0.5714285714,0.244047619,0.625
"CHEMBL2363743",0.62890625,0.3363095238,0.6701388889
"CHEMBL1613821",0.5923076923,0.8333333333,0.6754385965
"CHEMBL2363341",0.5085470085,0.4012539185,0.5863636364
"CHEMBL1614465",0.7242063492,0.5852272727,0.6193181818
"CHEMBL1614083",0.8043478261,0.4777777778,0.6428571429
"CHEMBL2363366",0.578125,0.4242424242,0.725
"CHEMBL2363766",0.5238095238,0.4086956522,0.7445887446
"CHEMBL2363464",0.6086956522,0.2646153846,0.6602870813
"CHEMBL1963899",0.4928571429,0.275659824,0.6168831169
"CHEMBL3214801",0.6168831169,0.4424603175,0.4626436782
"CHEMBL1614512",0.3744588745,0.6124401914,0.5025641026
"CHEMBL648337",0.6222222222,0.6551282051,0.6830357143
"CHEMBL2363213",0.4833333333,0.4335664336,0.78
"CHEMBL2363556",0.6076923077,0.3786764706,0.6948529412
"CHEMBL2363142",0.5678571429,0.3566433566,0.5980392157
"CHEMBL2363788",0.6666666667,0.3849206349,0.60546875
"CHEMBL2363560",0.7932330827,0.4529411765,0.6862745098
"CHEMBL2155446",1,0.9166666667,0.9929078014
"CHEMBL2363790",0.578125,0.64,0.6127819549
"CHEMBL2363481",0.58,0.3041958042,0.6421052632
"CHEMBL2114715",0.5416666667,0.5333333333,0.3847736626
"CHEMBL2363433",0.571875,0.4077380952,0.7111111111
"CHEMBL2363609",0.568627451,0.3137254902,0.7596153846
"CHEMBL3214965",0.3358585859,0.5231481481,0.4626391097
"CHEMBL1169087",0.8243727599,0.625,0.7301587302
"CHEMBL3214907",0.5869565217,0.3815789474,0.4656862745
"CHEMBL687330",0.8541666667,0.7333333333,0.625
"CHEMBL1614008",0.5935483871,0.4821052632,0.619047619
"CHEMBL2363324",0.4181818182,0.3873517787,0.5173913043
"CHEMBL2363185",0.6139705882,0.5238095238,0.7058823529
"CHEMBL2363220",0.6878787879,0.3382352941,0.6139705882
"CHEMBL2363555",0.652173913,0.4720496894,0.628458498
"CHEMBL2363437",0.6833333333,0.3639455782,0.6964285714
"CHEMBL2363243",0.5855263158,0.5392156863,0.6063348416
"CHEMBL2363612",0.5681818182,0.5777777778,0.7326203209
"CHEMBL2363140",0.6166666667,0.519047619,0.7412280702
"CHEMBL3215216",0.3632653061,0.8662790698,0.5588235294
"CHEMBL2363239",0.6031746032,0.4575757576,0.6979166667
"CHEMBL2363434",0.5238095238,0.4115384615,0.5873015873
"CHEMBL2114717",0.6344086022,0.496031746,0.6252873563
"CHEMBL2363688",0.5615763547,0.3541666667,0.5512820513
"CHEMBL2363152",0.5625,0.4222222222,0.7411764706
"CHEMBL1738040",0.5670995671,0.6493506494,0.3902439024
"CHEMBL2363141",0.5714285714,0.3333333333,0.6926406926
"CHEMBL2363803",0.625,0.3756613757,0.7074074074
"CHEMBL2363623",0.5727272727,0.4230769231,0.7246963563
"CHEMBL2363211",0.5897435897,0.4563492063,0.6875
"CHEMBL2363594",0.4015151515,0.376984127,0.5816993464
"CHEMBL2363236",0.6790123457,0.337037037,0.5887445887
"CHEMBL2363549",0.5,0.3905723906,0.4583333333
"CHEMBL2363387",0.5218855219,0.4084880637,0.6473429952
"CHEMBL2363180",0.4553846154,0.3419117647,0.6217391304
"CHEMBL2363577",0.6052631579,0.3045112782,0.7357142857
"CHEMBL2363252",0.65,0.4509803922,0.731092437
"CHEMBL2363630",0.6592592593,0.4421052632,0.7285714286
"CHEMBL2363216",0.5951557093,0.4155124654,0.6717171717
"CHEMBL2363535",0.6267942584,0.4520123839,0.68359375
"CHEMBL2363368",0.4880952381,0.4440789474,0.7469135802
"CHEMBL2363618",0.6125,0.484962406,0.6734693878
"CHEMBL2363774",0.591954023,0.2579365079,0.61352657
"CHEMBL1614503",0.3799283154,0.341563786,0.5858585859
"CHEMBL2363389",0.7202380952,0.368115942,0.6274509804
"CHEMBL2363477",0.6064814815,0.5244755245,0.7333333333
"CHEMBL2363834",0.5912698413,0.4204545455,0.6885964912
"CHEMBL1794367",0.4696428571,0.5823529412,0.6376470588
"CHEMBL2363440",0.5333333333,0.4507575758,0.6761904762
"CHEMBL2363363",0.5583333333,0.4542936288,0.7625
"CHEMBL2363369",0.5877192982,0.4444444444,0.7561983471
"CHEMBL2363435",0.6863636364,0.4757575758,0.6764705882
"CHEMBL2363223",0.6987179487,0.4825396825,0.6417112299
"CHEMBL2363851",0.6234567901,0.3506944444,0.7083333333
"CHEMBL2363575",0.6392156863,0.3933518006,0.5966386555
"CHEMBL2363443",0.5173611111,0.3939393939,0.6785714286
"CHEMBL2363273",0.3125,0.4141414141,0.6518518519
"CHEMBL2363655",0.5897435897,0.3913043478,0.7379679144
"CHEMBL2363242",0.6222222222,0.5222222222,0.78125
"CHEMBL2363367",0.5913043478,0.3538961039,0.6487603306
"CHEMBL2363561",0.6028708134,0.6,0.74375
"CHEMBL2363771",0.6233333333,0.1964285714,0.7361111111
"CHEMBL2363238",0.5882352941,0.45,0.6708333333
"CHEMBL1613904",0.6288819876,0.6722488038,0.6274509804
"CHEMBL2363507",0.5740740741,0.4142011834,0.6596638655
"CHEMBL2363727",0.671875,0.2706766917,0.6947368421
"CHEMBL2363480",0.5192307692,0.559375,0.7100840336
"CHEMBL2363187",0.6434782609,0.3850931677,0.5401785714
"CHEMBL2363659",0.7094017094,0.4375,0.6932773109
"CHEMBL2363327",0.5294117647,0.3777777778,0.612244898
"CHEMBL2363154",0.4322916667,0.2073170732,0.5887096774
"CHEMBL2363469",0.492481203,0.3801169591,0.619047619
"CHEMBL2363275",0.6181818182,0.2767857143,0.6333333333
"CHEMBL2363248",0.6286764706,0.3846153846,0.6666666667
