"","fold0","fold1","fold2"
"CHEMBL1614338",0.375,0.571428571428571,0.615384615384615
"CHEMBL1243971",0.787037037037037,0.25,0.777777777777778
"CHEMBL1614044",0.7875,0.833333333333333,0.4140625
"CHEMBL2045986",1,0.876190476190476,1
"CHEMBL618396",1,1,1
"CHEMBL3079731",0.691729323308271,0.9,0.911764705882353
"CHEMBL1794498",0.9275,0.989583333333333,0.955026455026455
"CHEMBL2091156",0.966666666666667,0.902777777777778,1
"CHEMBL2363253",0.744047619047619,0.64375,0.590909090909091
"CHEMBL1738192",0.75,0.769230769230769,1
"CHEMBL1614154",0.828282828282828,1,1
"CHEMBL1964055",0.630208333333333,0.344827586206897,0.747126436781609
"CHEMBL2363800",0.5,0.577272727272727,0.4375
"CHEMBL1794420",0.828282828282828,0.942857142857143,0.924603174603175
"CHEMBL2363263",0.481481481481482,0.71900826446281,0.472527472527472
"CHEMBL2363552",0.625850340136054,0.909090909090909,0.694214876033058
"CHEMBL2363168",0.44,0.72,0.866071428571428
"CHEMBL3214806",0.635714285714286,0.863970588235294,0.585
"CHEMBL1794455",0.949874686716792,0.961904761904762,0.946524064171123
"CHEMBL1613998",0.586206896551724,0.511764705882353,0.625
"CHEMBL1614056",0.84,0.896825396825397,0.688888888888889
"CHEMBL1613903",0.545112781954887,0.647058823529412,0.535714285714286
"CHEMBL2363184",0.506944444444444,0.527777777777778,0.591666666666667
"CHEMBL1738619",0.925925925925926,0.583333333333333,0.793103448275862
"CHEMBL2363227",0.605555555555556,0.504132231404959,0.592592592592593
"CHEMBL1738514",0.521978021978022,0.441818181818182,0.673913043478261
"CHEMBL2114927",0.451612903225806,0.630434782608696,0.694444444444444
"CHEMBL763093",0.885964912280702,0.715617715617716,0.761904761904762
"CHEMBL1614525",0.611363636363636,0.6875,0.861111111111111
"CHEMBL2114803",0.786111111111111,0.611111111111111,0.869791666666667
"CHEMBL1613775",0.809116809116809,0.852040816326531,0.776666666666667
"CHEMBL1614373",0.711538461538462,0.48125,0.53219696969697
"CHEMBL1614070",0.269230769230769,0.555555555555556,0.5
"CHEMBL1026934",0.975308641975309,0.698979591836735,1
"CHEMBL1026933",1,1,1
"CHEMBL2363723",0.491596638655462,0.712121212121212,0.66
"CHEMBL864855",0.833333333333333,0.5,0.643518518518519
"CHEMBL772766",0.9375,0.74702380952381,0.688888888888889
"CHEMBL806152",0.954545454545455,0.723076923076923,0.583333333333333
"CHEMBL1613812",0.883720930232558,0.5,0.71875
"CHEMBL2363265",0.744444444444444,0.880165289256198,0.637362637362637
"CHEMBL1024480",0.777777777777778,0.222222222222222,0.346666666666667
"CHEMBL2363541",0.522222222222222,0.497835497835498,0.484126984126984
"CHEMBL1614177",0.857142857142857,1,0.793103448275862
"CHEMBL1804798",1,0.988095238095238,0.968181818181818
"CHEMBL3111191",0.472222222222222,0.501818181818182,0
"CHEMBL1031359",0.1375,0.666666666666667,0.535
"CHEMBL2363544",0.493212669683258,0.454545454545455,0.5
"CHEMBL2363339",0.614285714285714,0.661111111111111,0.520833333333333
"CHEMBL2363169",0.693181818181818,0.808333333333333,0.504273504273504
"CHEMBL2363165",0.573529411764706,0.735294117647059,0.551282051282051
"CHEMBL1738313",0.652380952380952,0.665178571428571,0.550167224080268
"CHEMBL2363531",0.563636363636364,0.539256198347107,0.541666666666667
"CHEMBL2363621",0.515151515151515,0.667857142857143,0.587301587301587
"CHEMBL1614265",0.661764705882353,0.613636363636364,0.502840909090909
"CHEMBL1738092",0.416666666666667,0.553061224489796,0.333333333333333
"CHEMBL1614380",0.980392156862745,0.915384615384615,0.882539682539683
"CHEMBL2363420",0.730769230769231,0.683333333333333,0.610416666666667
"CHEMBL2354307",0.556603773584906,0.659420289855073,0.0808080808080808
