"","fold0","fold1","fold2"
"CHEMBL1614338",0.535714285714286,0.428571428571429,0.897435897435897
"CHEMBL1243971",0.540123456790124,0.5,0.333333333333333
"CHEMBL1614044",0.575,0.856060606060606,0.609375
"CHEMBL2045986",1,0.742857142857143,1
"CHEMBL618396",0.929824561403509,1,1
"CHEMBL3079731",0.781954887218045,0.45,0.676470588235294
"CHEMBL1794498",0.93,0.958333333333333,0.965608465608466
"CHEMBL2091156",0.966666666666667,0.861111111111111,0.942857142857143
"CHEMBL2363253",0.601190476190476,0.5875,0.454545454545455
"CHEMBL1738192",0.67,0.730769230769231,0.99
"CHEMBL1614154",0.97979797979798,1,1
"CHEMBL1964055",0.760416666666667,0.96551724137931,0.64367816091954
"CHEMBL2363800",0.535714285714286,0.440909090909091,0.53125
"CHEMBL1794420",0.904040404040404,0.952380952380952,0.957671957671958
"CHEMBL2363263",0.694444444444444,0.528925619834711,0.450549450549451
"CHEMBL2363552",0.605442176870748,0.857142857142857,0.586776859504132
"CHEMBL2363168",0.72,0.685,0.616071428571429
"CHEMBL3214806",0.857142857142857,0.801470588235294,0.91
"CHEMBL1794455",0.929824561403509,0.971428571428571,0.96524064171123
"CHEMBL1613998",0.731034482758621,0.652941176470588,0.535714285714286
"CHEMBL1614056",0.79,0.841269841269841,0.794444444444445
"CHEMBL1613903",0.609022556390977,0.482352941176471,0.623809523809524
"CHEMBL2363184",0.631944444444444,0.62037037037037,0.75
"CHEMBL1738619",0.777777777777778,0.686507936507937,0.718390804597701
"CHEMBL2363227",0.655555555555556,0.553719008264463,0.62962962962963
"CHEMBL1738514",0.56043956043956,0.472727272727273,0.449275362318841
"CHEMBL2114927",0.67741935483871,0.58695652173913,0.663194444444444
"CHEMBL763093",0.789473684210526,0.662004662004662,0.952380952380952
"CHEMBL1614525",0.638636363636364,0.588541666666667,0.814814814814815
"CHEMBL2114803",0.805555555555556,0.785185185185185,0.755208333333333
"CHEMBL1613775",0.891737891737892,0.831632653061225,0.756666666666667
"CHEMBL1614373",0.580128205128205,0.558333333333333,0.53030303030303
"CHEMBL1614070",0.384615384615385,0.777777777777778,0.75
"CHEMBL1026934",0.987654320987654,1,0.96
"CHEMBL1026933",0.914285714285714,1,1
"CHEMBL2363723",0.630252100840336,0.772727272727273,0.653333333333333
"CHEMBL864855",1,0.333333333333333,0.791666666666667
"CHEMBL772766",0.739583333333333,0.535714285714286,0.377777777777778
"CHEMBL806152",0.772727272727273,0.938461538461538,0.7
"CHEMBL1613812",0.976744186046512,0.708333333333333,0.3125
"CHEMBL2363265",0.766666666666667,0.731404958677686,0.489010989010989
"CHEMBL1024480",0.888888888888889,0.111111111111111,0.106666666666667
"CHEMBL2363541",0.677777777777778,0.515151515151515,0.404761904761905
"CHEMBL1614177",0.785714285714286,0.942857142857143,0.747126436781609
"CHEMBL1804798",0.941176470588235,1,0.786363636363636
"CHEMBL3111191",0.305555555555556,0.229090909090909,0.2
"CHEMBL1031359",0.25,1,0.77
"CHEMBL2363544",0.461538461538462,0.451048951048951,0.508928571428571
"CHEMBL2363339",0.757142857142857,0.711111111111111,0.652777777777778
"CHEMBL2363169",0.784090909090909,0.804166666666667,0.598290598290598
"CHEMBL2363165",0.705882352941177,0.580882352941176,0.423076923076923
"CHEMBL1738313",0.676190476190476,0.672619047619048,0.632107023411371
"CHEMBL2363531",0.660606060606061,0.628099173553719,0.548611111111111
"CHEMBL2363621",0.560606060606061,0.607142857142857,0.726190476190476
"CHEMBL1614265",0.514705882352941,0.492424242424242,0.471590909090909
"CHEMBL1738092",0.6875,0.461224489795918,0.540740740740741
"CHEMBL1614380",0.901960784313725,0.95,0.765079365079365
"CHEMBL2363420",0.918269230769231,0.608333333333333,0.7125
"CHEMBL2354307",0.484905660377358,0.434782608695652,0.232323232323232
"CHEMBL2363375",0.638461538461538,0.532967032967033,0.646153846153846
"CHEMBL1738423",0.454166666666667,0.666666666666667,0.625
"CHEMBL3214828",0.809364548494983,0.927318295739348,0.981818181818182
"CHEMBL2114883",0.726495726495726,0.532894736842105,0.642533936651584
"CHEMBL1614408",0.649305555555555,0.557142857142857,0.474789915966387
"CHEMBL872182",0.972222222222222,0.963541666666667,0.934389140271493
"CHEMBL2363299",0.737373737373737,0.542016806722689,0.612121212121212
"CHEMBL1820680",0.933333333333333,0.654761904761905,0.6
"CHEMBL663474",0.848507462686567,1,0.777777777777778
"CHEMBL2363268",0.635294117647059,0.672240802675585,0.464285714285714
"CHEMBL2363393",0.666666666666667,0.62,0.42156862745098
"CHEMBL1737862",0.906432748538012,0.984042553191489,0.808888888888889
"CHEMBL2363642",0.690909090909091,0.484615384615385,0.6
"CHEMBL3215144",0.390322580645161,0.653703703703704,0.690322580645161
"CHEMBL2363467",0.6875,0.827777777777778,0.581632653061225
"CHEMBL2363174",0.653508771929825,0.581314878892734,0.579185520361991
