"","fold0","fold1","fold2"
"CHEMBL1614338",0.5357142857,0.7142857143,0.4871794872
"CHEMBL1243971",0.8672839506,0,1
"CHEMBL1614044",0.75,0.803030303,0.34375
"CHEMBL2045986",1,0.6285714286,0.775862069
"CHEMBL618396",0.9649122807,1,1
"CHEMBL3079731",0.8045112782,0.85,0.7941176471
"CHEMBL1794498",0.9075,0.9270833333,0.9470899471
"CHEMBL2091156",0.8666666667,0.8449074074,0.9428571429
"CHEMBL2363253",0.7619047619,0.6625,0.803030303
"CHEMBL1738192",0.59,0.6987179487,0.99
"CHEMBL1614154",0.9696969697,1,0.9824561404
"CHEMBL1964055",0.375,0.9655172414,0.6781609195
"CHEMBL2363800",0.7232142857,0.5090909091,0.525
"CHEMBL1794420",0.898989899,0.9238095238,0.8968253968
"CHEMBL2363263",0.7222222222,0.7520661157,0.6098901099
"CHEMBL2363552",0.6326530612,0.7467532468,0.6694214876
"CHEMBL2363168",0.6755555556,0.73,0.5803571429
"CHEMBL3214806",0.8857142857,0.8308823529,0.91
"CHEMBL1794455",0.954887218,0.9238095238,0.9465240642
"CHEMBL1613998",0.7586206897,0.6882352941,0.612244898
"CHEMBL1614056",0.67,0.6428571429,0.7111111111
"CHEMBL1613903",0.5977443609,0.5352941176,0.5595238095
"CHEMBL2363184",0.6388888889,0.6990740741,0.9166666667
"CHEMBL1738619",0.8148148148,0.5119047619,0.7298850575
"CHEMBL2363227",0.6222222222,0.5785123967,0.6543209877
"CHEMBL1738514",0.6098901099,0.5018181818,0.5893719807
"CHEMBL2114927",0.7096774194,0.5054347826,0.6180555556
"CHEMBL763093",0.5307017544,0.6573426573,0.6666666667
"CHEMBL1614525",0.6840909091,0.703125,0.8611111111
"CHEMBL2114803",0.9444444444,0.762962963,0.7864583333
"CHEMBL1613775",0.8660968661,0.887755102,0.8466666667
"CHEMBL1614373",0.625,0.5625,0.4696969697
"CHEMBL1614070",0.0769230769,0.6666666667,0.8333333333
"CHEMBL1026934",0.975308642,0.9795918367,0.76
"CHEMBL1026933",1,1,1
"CHEMBL2363723",0.6722689076,0.8181818182,0.8066666667
"CHEMBL864855",1,1,0.9212962963
"CHEMBL772766",0.7708333333,0.6517857143,0.5777777778
"CHEMBL806152",0.7727272727,0.7076923077,0.55
"CHEMBL1613812",0.976744186,0.9583333333,0.6875
"CHEMBL2363265",0.6055555556,0.673553719,0.6208791209
"CHEMBL1024480",0.7777777778,0.1111111111,0.7866666667
"CHEMBL2363541",0.7388888889,0.5021645022,0.5793650794
"CHEMBL1614177",0.7857142857,0.8571428571,0.7586206897
"CHEMBL1804798",0.9607843137,0.9285714286,0.8409090909
"CHEMBL3111191",0.287037037,0.3181818182,0
"CHEMBL1031359",0.975,0.8333333333,1
"CHEMBL2363544",0.5882352941,0.6013986014,0.5669642857
"CHEMBL2363339",0.7571428571,0.7277777778,0.7708333333
"CHEMBL2363169",0.7613636364,0.75,0.6752136752
"CHEMBL2363165",0.6421568627,0.8897058824,0.6666666667
"CHEMBL1738313",0.7238095238,0.7321428571,0.6120401338
"CHEMBL2363531",0.6060606061,0.6983471074,0.7777777778
"CHEMBL2363621",0.6919191919,0.7642857143,0.7619047619
"CHEMBL1614265",0.5073529412,0.5606060606,0.5284090909
"CHEMBL1738092",0.3125,0.4734693878,0.2888888889
"CHEMBL1614380",0.9019607843,0.8576923077,0.6253968254
"CHEMBL2363420",0.6826923077,0.6833333333,0.8125
"CHEMBL2354307",0.4,0.884057971,0.202020202
"CHEMBL2363375",0.4846153846,0.5714285714,0.6307692308
