,StaticF: fold0,StaticF: fold1,StaticF: fold2,SemiF: fold0,SemiF: fold1,SemiF: fold2,ECFP6: fold0,ECFP6: fold1,ECFP6: fold2,DFS8: fold0,DFS8: fold1,DFS8: fold2,ECFP6+ToxF: fold0,ECFP6+ToxF: fold1,ECFP6+ToxF: fold2
CHEMBL1614338,0.905245548,0.858078231,0.858703476,0.941172419,0.858758503,0.985096154,0.968963477,1,0.988130459,0.930117997,0.980867347,0.946998141,0.973529149,0.90042517,0.978932446
CHEMBL1243971,0.697373042,0.416666667,1,0.826477178,0.416666667,0.405555556,0.799150074,0.416666667,0.655555556,0.694088954,0.791666667,0.405555556,0.62361786,0.416666667,0.655555556
CHEMBL1614044,0.866275391,0.946367462,0.691025641,0.982575758,0.992645564,0.663247863,0.863768176,0.98647383,0.64482965,0.972020202,0.991483234,0.840001145,0.968093434,0.996433394,0.627558379
CHEMBL2045986,0.988271605,0.958201735,1,1,0.878251692,0.999705254,1,0.959539686,1,1,0.880472943,1,1,0.972642435,0.999705254
CHEMBL618396,0.98046252,0.99327957,0.995238095,0.994452139,1,1,0.968509639,1,1,0.994452139,0.996819383,1,0.972320594,0.997917751,1
CHEMBL3079731,0.804031155,0.937255874,0.965390468,0.884503293,0.843922541,0.965390468,0.886252946,0.916839208,0.93525508,0.867560445,0.97595188,0.996635909,0.876290345,0.916839208,0.952236873
CHEMBL1794498,0.940112182,0.92962963,0.976085955,0.932824467,0.974206349,0.97840886,0.932973138,0.974206349,0.973976784,0.947196869,0.943650794,0.951571931,0.949283391,0.955357143,0.966076307
CHEMBL2091156,0.954700577,0.972990411,0.975382596,0.827260101,0.97326518,0.99077381,0.920790043,0.978346047,0.98700105,0.990454545,0.956939849,0.98700105,0.920692641,0.973946483,0.983660131
CHEMBL2363253,0.665991639,0.694649109,0.749908124,0.771269506,0.772756132,0.878031745,0.832461943,0.795631654,0.8504058,0.695740752,0.72339612,0.73216534,0.801787716,0.744759536,0.827730832
CHEMBL1738192,0.383278509,0.511471614,0.895604396,0.348302905,0.736399977,0.86,0.366640038,0.458233086,1,0.376348991,0.415887998,0.963333333,0.428251263,0.714321036,1
CHEMBL1614154,0.887375497,0.992808654,0.963909774,0.991869238,1,1,0.934974614,1,0.968498889,0.924555803,0.991091508,1,0.985952196,0.972821201,1
CHEMBL1964055,0.979214131,0.988586708,0.966367396,0.99804592,0.984244945,0.971694181,0.915266575,0.984243372,0.807204966,0.993373879,0.920032585,0.966945435,0.985920501,0.992301389,0.923302479
CHEMBL2363800,0.300715132,0.404737403,0.361598766,0.325098668,0.321783189,0.452366963,0.616309714,0.389715869,0.412560402,0.318170611,0.300542857,0.512024915,0.505648518,0.390001058,0.504712024
CHEMBL1794420,0.906062304,0.866433942,0.961539469,0.841602343,0.894859307,0.949034305,0.77177856,0.944160998,0.950423997,0.853141729,0.897155226,0.954058551,0.860841068,0.944160998,0.945281103
CHEMBL2363263,0.232673668,0.621703378,0.594143955,0.267863636,0.737349035,0.64396699,0.550627777,0.726231827,0.576538027,0.451140285,0.71658357,0.675673996,0.67272023,0.739521274,0.619712593
CHEMBL2363552,0.529504005,0.741357056,0.784145126,0.51697826,0.898362507,0.873386774,0.691562239,0.753357952,0.781259958,0.60473574,0.789513313,0.733757634,0.617884351,0.966269841,0.769623432
CHEMBL2363168,0.612801534,0.674898879,0.743082877,0.768012752,0.784175638,0.810724345,0.765153523,0.670712316,0.470013871,0.603336976,0.623207026,0.632939721,0.727163573,0.802004282,0.701333745
CHEMBL3214806,0.969166349,0.937686512,0.89038709,0.98723355,0.949025162,0.961245521,0.995091774,0.987733497,0.991245775,0.977844182,0.987548753,0.983367973,0.995167508,0.972776377,0.988151423
CHEMBL1794455,0.949491187,0.839960833,0.980051848,0.92991946,0.954761905,0.975511208,0.872273558,0.966269841,0.966120477,0.941218431,0.906462585,0.950067709,0.944099414,0.944160998,0.972578661
CHEMBL1613998,0.895234463,0.843595653,0.904228372,0.948969267,0.968531388,0.866688484,0.943732387,0.879212244,0.788915636,0.926299611,0.950744977,0.908973764,0.942269154,0.926377749,0.807270846
CHEMBL1614056,0.517985427,0.217054636,0.783333333,0.812893357,0.390140683,0.849444444,0.687176634,0.311211029,0.585334548,0.770156926,0.362019091,0.768452381,0.680913221,0.321878122,0.466309524
CHEMBL1613903,0.45874928,0.293875727,0.468448603,0.534111543,0.329466596,0.620388671,0.479851169,0.295849497,0.545581204,0.571467405,0.424058358,0.574323279,0.452659601,0.551301639,0.553303186
CHEMBL2363184,0.223082311,0.420684474,0.221413956,0.221667282,0.494307493,0.663195489,0.280013003,0.390243336,0.475079365,0.186898586,0.352161342,0.249745518,0.398333842,0.437658437,0.698787879
CHEMBL1738619,0.072916667,0.250651012,0.158046163,0.540204678,0.321272095,0.356010327,0.547916667,0.4542949,0.23182404,0.534632035,0.423293334,0.36130355,0.547916667,0.365413834,0.374535336
CHEMBL2363227,0.409104137,0.494872167,0.452096977,0.584820735,0.552838916,0.711693277,0.786698894,0.503455919,0.595747644,0.425769087,0.385748664,0.653820473,0.757958699,0.527160345,0.638934554
CHEMBL1738514,0.895571633,0.770669428,0.777894313,0.786435881,0.787631789,0.884542341,0.788282303,0.649224766,0.734976308,0.847381636,0.672057493,0.770270962,0.806369149,0.66866123,0.697156367
CHEMBL2114927,0.016666667,0.24850913,0.123222271,0.019230769,0.583750142,0.178443686,0.027777778,0.372175736,0.364986855,0.02,0.377357106,0.582575159,0.026315789,0.568743873,0.188723632
CHEMBL763093,0.85995788,0.842053179,0.98700105,0.931140766,0.909640998,1,0.847530545,0.810278244,0.973161765,0.861089895,0.86457216,0.977823367,0.879403737,0.799824984,0.99077381
CHEMBL1614525,0.600921855,0.818553139,0.506682174,0.750517532,0.771009741,0.743056892,0.657562335,0.72632251,0.841089585,0.673766254,0.770419208,0.572924065,0.647924494,0.708111929,0.747523362
CHEMBL2114803,0.972906355,0.906761182,0.922568175,0.977872501,0.945274599,0.939509824,0.97461504,0.950815971,0.927667352,0.94848203,0.87836601,0.943144592,0.970848888,0.964268018,0.931925581
CHEMBL1613775,0.931535262,0.769277807,0.715038544,0.969276728,0.924990361,0.898197132,0.956822882,0.937972455,0.913665566,0.959504921,0.941279694,0.8840091,0.947675874,0.88264253,0.915045716
CHEMBL1614373,0.560950485,0.700689401,0.718924853,0.743445013,0.784766382,0.65017794,0.701905266,0.824523379,0.710051002,0.762613246,0.856824578,0.692851247,0.746576522,0.82522132,0.69331948
CHEMBL1614070,0.963921335,0.897376543,0.833333333,0.951968438,0.988271605,0.504166667,0.876985194,1,0.883928571,0.906261474,0.975154321,0.811011905,0.904728818,0.865299824,1
CHEMBL1026934,1,0.999191677,1,0.997400109,0.99916684,1,1,0.999191677,1,1,0.999587672,0.998430769,0.998652753,0.998298211,0.998430769
CHEMBL1026933,0.938095238,1,0.708333333,0.919642857,1,0.791666667,0.894444444,1,0.708333333,1,1,0.791666667,0.938095238,1,1
CHEMBL2363723,0.540796514,0.527384911,0.714078694,0.541319123,0.606314122,0.855339707,0.723687182,0.568823494,0.691420249,0.602013866,0.622496944,0.726816909,0.738045047,0.648037393,0.737824953
CHEMBL864855,0.974206349,0.763888889,0.911046041,0.943650794,0.763888889,0.947011671,0.926984127,0.902777778,0.944285481,1,0.763888889,0.968210068,0.926984127,0.902777778,0.868519406
CHEMBL772766,0.255357143,0.396382335,0.320454545,0.290899725,0.302737338,0.548787879,0.354924242,0.666108837,0.407509158,0.190371763,0.416084781,0.308311688,0.309099265,0.462582949,0.401031746
CHEMBL806152,0.985431235,0.934579726,0.84265873,0.976753549,0.887377345,0.887301587,0.976753549,0.96125,0.773063973,0.959995055,0.944193307,0.668205868,0.976753549,0.956870629,0.776109307
CHEMBL1613812,0.992547217,0.970494783,0.898115079,0.998357579,0.884263422,0.985243056,0.998918042,0.922854692,0.861656746,0.998357579,0.966328116,0.985243056,0.999465313,0.929730917,0.898115079
CHEMBL2363265,0.605816463,0.584978609,0.708637034,0.901685583,0.579463582,0.816217176,0.79474738,0.674707404,0.646216199,0.80794252,0.490694982,0.743141052,0.786812164,0.530137981,0.694645276
CHEMBL1024480,0.166666667,1,0.108906526,0.0625,0.166666667,0.093218954,0.166666667,0.05,0.118590669,0.25,0.166666667,0.070643547,0.166666667,0.055555556,0.088672197
CHEMBL2363541,0.289082881,0.398339032,0.550043783,0.410607938,0.58625793,0.641465198,0.748200494,0.595293777,0.472926069,0.360235774,0.547565921,0.560442516,0.783536422,0.562725,0.46623655
CHEMBL1614177,0.027777778,0.071428571,0.654761905,0.035714286,0.25,0.480699856,0.055555556,0.083333333,0.414845938,0.035714286,1,0.85,0.038461538,0.25,0.485846561
