"","fold0","fold1","fold2"
"CHEMBL1614338",0.7142857143,0.1428571429,0.641025641
"CHEMBL1243971",0.9567901235,0,0.2222222222
"CHEMBL1614044",0.425,0.7121212121,0.234375
"CHEMBL2045986",1,0.7238095238,0
"CHEMBL618396",0.9298245614,1,1
"CHEMBL3079731",0.9248120301,0.45,0.7352941176
"CHEMBL1794498",0.7775,0.9583333333,0.9444444444
"CHEMBL2091156",0.6333333333,0.9328703704,0.7285714286
"CHEMBL2363253",0.6607142857,0.625,0.553030303
"CHEMBL1738192",0.52,0.7403846154,0.99
"CHEMBL1614154",0.8888888889,1,1
"CHEMBL1964055",0.4895833333,0.1724137931,0.5632183908
"CHEMBL2363800",0.7053571429,0.4136363636,0.69375
"CHEMBL1794420",0.7424242424,0.9428571429,0.8677248677
"CHEMBL2363263",0.6666666667,0.347107438,0.5494505495
"CHEMBL2363552",0.612244898,0.7272727273,0.6694214876
"CHEMBL2363168",0.6755555556,0.71,0.6696428571
"CHEMBL3214806",0.8857142857,0.9044117647,0.9
"CHEMBL1794455",0.8045112782,0.9619047619,0.9518716578
"CHEMBL1613998",0.6206896552,0.4941176471,0.6071428571
"CHEMBL1614056",0.58,0.7301587302,0.5277777778
"CHEMBL1613903",0.5751879699,0.8411764706,0.5
"CHEMBL2363184",0.7222222222,0.6481481481,0.875
"CHEMBL1738619",0.6851851852,0.6111111111,0.7816091954
"CHEMBL2363227",0.6833333333,0.5247933884,0.6728395062
"CHEMBL1738514",0.3956043956,0.48,0.5990338164
"CHEMBL2114927",0.2580645161,0.6086956522,0.5347222222
"CHEMBL763093",0.8245614035,0.7132867133,0.6904761905
"CHEMBL1614525",0.5227272727,0.65625,0.712962963
"CHEMBL2114803",0.8388888889,0.7703703704,0.703125
"CHEMBL1613775",0.7521367521,0.7295918367,0.69
"CHEMBL1614373",0.6153846154,0.4375,0.428030303
"CHEMBL1614070",0.2307692308,0.4444444444,0.3333333333
"CHEMBL1026934",0.962962963,0.9183673469,0.76
"CHEMBL1026933",0.9428571429,0.9857142857,0.95
"CHEMBL2363723",0.7058823529,0.5050505051,0.7466666667
"CHEMBL864855",0.6666666667,0.3333333333,0.6412037037
"CHEMBL772766",0.6770833333,0.3958333333,0.4888888889
"CHEMBL806152",0.3636363636,0.7076923077,0.65
"CHEMBL1613812",0.976744186,0.7083333333,0.5
"CHEMBL2363265",0.7111111111,0.5826446281,0.521978022
"CHEMBL1024480",0,0,0.0666666667
"CHEMBL2363541",0.7388888889,0.4242424242,0.6785714286
"CHEMBL1614177",0.8928571429,0.8285714286,0.7011494253
"CHEMBL1804798",0.862745098,0.6071428571,0.6863636364
"CHEMBL3111191",0.6388888889,0.1818181818,0.8
"CHEMBL1031359",1,0.8333333333,0.98
"CHEMBL2363544",0.6606334842,0.5104895105,0.6428571429
"CHEMBL2363339",0.6714285714,0.6166666667,0.6944444444
"CHEMBL2363169",0.7386363636,0.7041666667,0.6752136752
"CHEMBL2363165",0.5931372549,0.5294117647,0.5769230769
"CHEMBL1738313",0.7428571429,0.6547619048,0.6321070234
"CHEMBL2363531",0.6909090909,0.5578512397,0.6666666667
"CHEMBL2363621",0.696969697,0.625,0.7817460317
"CHEMBL1614265",0.4191176471,0.5303030303,0.2386363636
"CHEMBL1738092",0.15625,0.6367346939,0.5481481481
"CHEMBL1614380",0.7450980392,0.8730769231,0.6349206349
"CHEMBL2363420",0.8076923077,0.5,0.6708333333
"CHEMBL2354307",0.5773584906,0.7391304348,0.3333333333
"CHEMBL2363375",0.6307692308,0.4615384615,0.7282051282
"CHEMBL1738423",0.8416666667,0.6292335116,0.5288461538
"CHEMBL3214828",0.5284280936,0.5739348371,0.9345454545
"CHEMBL2114883",0.3461538462,0.4901315789,0.4751131222
"CHEMBL1614408",0.6388888889,0.5333333333,0.743697479
"CHEMBL872182",1,0.9791666667,0.8733031674
"CHEMBL2363299",0.6767676768,0.5588235294,0.6727272727
"CHEMBL1820680",0.6666666667,0.8055555556,0.8
"CHEMBL663474",0.7835820896,1,1
"CHEMBL2363268",0.7137254902,0.6789297659,0.6785714286
"CHEMBL2363393",0.6388888889,0.5666666667,0.6960784314
"CHEMBL1737862",0.6140350877,0.8510638298,0.5288888889
"CHEMBL2363642",0.6060606061,0.3192307692,0.5244444444
"CHEMBL3215144",0.3806451613,0.4111111111,0.3032258065
"CHEMBL2363467",0.7386363636,0.8166666667,0.7244897959
"CHEMBL2363174",0.8026315789,0.5813148789,0.6561085973
"CHEMBL1614417",0.7777777778,0.5497076023,0.688034188
"CHEMBL1614539",0.5701754386,0.5394736842,0.3875
"CHEMBL1738684",0.3703703704,0.5588235294,0.6129032258
"CHEMBL3214981",0.4775510204,0.640625,0.8235294118
"CHEMBL2363321",0.6459627329,0.6214285714,0.6328502415
"CHEMBL3111197",0.5403225806,0.6233333333,1
"CHEMBL2114718",0.7222222222,0.5427631579,0.7076923077
"CHEMBL1963857",0.865497076,0.6330049261,0.803030303
"CHEMBL2363453",0.6625,0.6636363636,0.70625
"CHEMBL2363176",0.6587301587,0.4934210526,0.6042780749
"CHEMBL1963849",0.9761904762,0.2474489796,0.6111111111
"CHEMBL1614210",0.4877192982,0.4625,0.5797101449
"CHEMBL2354260",0.7090301003,0.4285714286,0.7467532468
"CHEMBL2363449",0.7666666667,0.5419354839,0.7307692308
