"","fold0","fold1","fold2"
"CHEMBL1614338",0.25,0.714285714285714,0.692307692307692
"CHEMBL1243971",0.475308641975309,0,0.777777777777778
"CHEMBL1614044",0.7,0.886363636363636,0.6875
"CHEMBL2045986",1,0.79047619047619,0.96551724137931
"CHEMBL618396",1,1,1
"CHEMBL3079731",0.601503759398496,1,0.720588235294118
"CHEMBL1794498",0.9575,0.947916666666667,0.915343915343915
"CHEMBL2091156",1,0.93287037037037,0.985714285714286
"CHEMBL2363253",0.56547619047619,0.515625,0.522727272727273
"CHEMBL1738192",0.73,0.753205128205128,0.98
"CHEMBL1614154",0.97979797979798,0.857558139534884,1
"CHEMBL1964055",0.75,0.931034482758621,0.807471264367816
"CHEMBL2363800",0.419642857142857,0.522727272727273,0.38125
"CHEMBL1794420",0.904040404040404,0.942857142857143,0.943121693121693
"CHEMBL2363263",0.527777777777778,0.553719008264463,0.428571428571429
"CHEMBL2363552",0.714285714285714,0.922077922077922,0.56198347107438
"CHEMBL2363168",0.48,0.7475,0.638392857142857
"CHEMBL3214806",0.7,0.753676470588235,0.93
"CHEMBL1794455",0.989974937343358,0.961904761904762,0.903743315508021
"CHEMBL1613998",0.56551724137931,0.452941176470588,0.510204081632653
"CHEMBL1614056",0.82,0.46031746031746,0.6
"CHEMBL1613903",0.548872180451128,0.458823529411765,0.430952380952381
"CHEMBL2363184",0.354166666666667,0.615740740740741,0.358333333333333
"CHEMBL1738619",0.796296296296296,0.611111111111111,0.64367816091954
"CHEMBL2363227",0.438888888888889,0.644628099173554,0.512345679012346
"CHEMBL1738514",0.565934065934066,0.481818181818182,0.516908212560387
"CHEMBL2114927",0.0645161290322581,0.46195652173913,0.524305555555556
"CHEMBL763093",0.649122807017544,0.573426573426573,0.857142857142857
"CHEMBL1614525",0.490909090909091,0.583333333333333,0.775462962962963
"CHEMBL2114803",0.888888888888889,0.77037037037037,0.6875
"CHEMBL1613775",0.683760683760684,0.816326530612245,0.726666666666667
"CHEMBL1614373",0.692307692307692,0.695833333333333,0.583333333333333
"CHEMBL1614070",0.307692307692308,0.777777777777778,0.416666666666667
"CHEMBL1026934",1,0.928571428571429,0.88
"CHEMBL1026933",0.914285714285714,0.955952380952381,0.95
"CHEMBL2363723",0.80672268907563,0.651515151515152,0.593333333333333
"CHEMBL864855",0.5,0.666666666666667,0.418981481481481
"CHEMBL772766",0.864583333333333,0.87797619047619,0.666666666666667
"CHEMBL806152",0.954545454545455,0.992307692307692,0.866666666666667
"CHEMBL1613812",1,0.479166666666667,0.71875
"CHEMBL2363265",0.672222222222222,0.708677685950413,0.494505494505495
"CHEMBL1024480",0.777777777777778,0,0.28
"CHEMBL2363541",0.605555555555556,0.458874458874459,0.412698412698413
"CHEMBL1614177",0.928571428571429,1,0.540229885057471
"CHEMBL1804798",0.803921568627451,0.916666666666667,0.877272727272727
"CHEMBL3111191",0.592592592592593,0.463636363636364,0.2
"CHEMBL1031359",0.95,0.833333333333333,0.58
"CHEMBL2363544",0.484162895927602,0.451048951048951,0.584821428571429
"CHEMBL2363339",0.5,0.644444444444444,0.548611111111111
"CHEMBL2363169",0.823863636363636,0.716666666666667,0.615384615384615
"CHEMBL2363165",0.681372549019608,0.639705882352941,0.551282051282051
"CHEMBL1738313",0.704761904761905,0.651785714285714,0.618729096989967
"CHEMBL2363531",0.478787878787879,0.634297520661157,0.586805555555556
"CHEMBL2363621",0.378787878787879,0.605357142857143,0.757936507936508
"CHEMBL1614265",0.551470588235294,0.833333333333333,0.494318181818182
"CHEMBL1738092",0.833333333333333,0.416326530612245,0.637037037037037
"CHEMBL1614380",0.941176470588235,0.961538461538461,0.742857142857143
"CHEMBL2363420",0.634615384615385,0.560416666666667,0.6375
"CHEMBL2354307",0.524528301886792,0.492753623188406,0.535353535353535
"CHEMBL2363375",0.676923076923077,0.700549450549451,0.466666666666667
"CHEMBL1738423",0.758333333333333,0.723707664884136,0.625
"CHEMBL3214828",0.859531772575251,0.804511278195489,0.843636363636364
"CHEMBL2114883",0.653846153846154,0.513157894736842,0.490950226244344
"CHEMBL1614408",0.600694444444444,0.458333333333333,0.569327731092437
"CHEMBL872182",0.916666666666667,0.947916666666667,0.64027149321267
"CHEMBL2363299",0.45959595959596,0.584033613445378,0.496969696969697
"CHEMBL1820680",0.866666666666667,0.623015873015873,0.6
"CHEMBL663474",0.755970149253731,1,0.888888888888889
"CHEMBL2363268",0.588235294117647,0.648829431438127,0.466517857142857
"CHEMBL2363393",0.638888888888889,0.615,0.46078431372549
"CHEMBL1737862",0.888888888888889,0.984042553191489,0.751111111111111
"CHEMBL2363642",0.527272727272727,0.607692307692308,0.626666666666667
"CHEMBL3215144",0.248387096774194,0.787037037037037,0.554838709677419
"CHEMBL2363467",0.738636363636364,0.905555555555556,0.673469387755102
"CHEMBL2363174",0.644736842105263,0.657439446366782,0.606334841628959
"CHEMBL1614417",0.57201646090535,0.495614035087719,0.463675213675214
"CHEMBL1614539",0.692982456140351,0.559210526315789,0.6375
"CHEMBL1738684",0.666666666666667,0.441176470588235,0.650537634408602
"CHEMBL3214981",0.673469387755102,0.5078125,0.549019607843137
"CHEMBL2363321",0.608695652173913,0.664285714285714,0.536231884057971
"CHEMBL3111197",0.564516129032258,0.386666666666667,0.4
"CHEMBL2114718",0.333333333333333,0.626644736842105,0.634615384615385
"CHEMBL1963857",0.953216374269006,0.862068965517241,0.752525252525253
"CHEMBL2363453",0.6,0.686363636363636,0.51875
"CHEMBL2363176",0.404761904761905,0.611842105263158,0.631016042780749
"CHEMBL1963849",1,0.5625,0.453703703703704
"CHEMBL1614210",0.554385964912281,0.55625,0.652173913043478
"CHEMBL2354260",0.602006688963211,0.408730158730159,0.616883116883117
"CHEMBL2363449",0.74,0.741935483870968,0.58974358974359
"CHEMBL1614482",0.908385093167702,0.72,0.601190476190476
"CHEMBL1614220",0.632016632016632,0.658564814814815,0.756521739130435
"CHEMBL2114914",0.690217391304348,0.71875,0.707070707070707
"CHEMBL2363438",0.484375,0.567873303167421,0.530952380952381
"CHEMBL1613956",0.662698412698413,0.659592529711375,0.621753246753247
"CHEMBL1613806",0.929230769230769,0.658496732026144,0.791666666666667
"CHEMBL1614450",0.708333333333333,0.44212962962963,0.555555555555556
"CHEMBL1167052",0.68961038961039,0.833333333333333,1
"CHEMBL1002712",0.930555555555556,0.782608695652174,0.970512820512821
"CHEMBL3111194",0.470588235294118,0.444078947368421,0.6
"CHEMBL1613859",0.589285714285714,0.608695652173913,0.619565217391304
"CHEMBL2363146",0.690821256038647,0.532407407407407,0.560714285714286
"CHEMBL2363395",0.639455782312925,0.64,0.684210526315789
"CHEMBL938648",0.787037037037037,0.75,0.703703703703704
"CHEMBL1613980",0.589430894308943,0.439393939393939,0.533333333333333
"CHEMBL2363581",0.643939393939394,0.776315789473684,0.606481481481482
"CHEMBL3215132",0.405405405405405,0.678125,0.586021505376344
"CHEMBL1614267",0.654761904761905,0.62962962962963,0.752066115702479
"CHEMBL2363277",0.660714285714286,0.663398692810457,0.676190476190476
"CHEMBL3111192",0.592857142857143,0.590395480225989,0.4
"CHEMBL3111198",0.491935483870968,0.71078431372549,0.555555555555556
"CHEMBL2363153",0.523809523809524,0.515,0.91812865497076
"CHEMBL2363197",0.574074074074074,0.636904761904762,0.636363636363636
"CHEMBL2363371",0.427631578947368,0.554166666666667,0.465
"CHEMBL2363734",0.45959595959596,0.688034188034188,0.464705882352941
"CHEMBL1614478",0.838095238095238,0.636160714285714,0.655555555555556
"CHEMBL2363336",0.638888888888889,0.666666666666667,0.534090909090909
"CHEMBL3111195",0.496551724137931,0.577731092436975,0.625
"CHEMBL2363278",0.6,0.629934210526316,0.5625
"CHEMBL2363351",0.623529411764706,0.5375,0.553921568627451
"CHEMBL2363391",0.506072874493927,0.7,0.53781512605042
"CHEMBL2363326",0.5125,0.676136363636364,0.608455882352941
"CHEMBL2363328",0.644444444444444,0.580555555555556,0.243055555555556
"CHEMBL2363330",0.601010101010101,0.48989898989899,0.808035714285714
"CHEMBL2363364",0.543103448275862,0.68,0.429752066115702
"CHEMBL2363333",0.606060606060606,0.535014005602241,0.658823529411765
"CHEMBL2363148",0.393939393939394,0.688405797101449,0.466942148760331
"CHEMBL2363264",0.543650793650794,0.563492063492063,0.51984126984127
"CHEMBL2363283",0.403409090909091,0.682352941176471,0.738562091503268
"CHEMBL2363660",0.692592592592593,0.58695652173913,0.595238095238095
"CHEMBL2363307",0.471590909090909,0.638157894736842,0.323717948717949
"CHEMBL2363247",0.398989898989899,0.703703703703704,0.482905982905983
"CHEMBL2363465",0.570048309178744,0.75,0.61
"CHEMBL2363225",0.471428571428571,0.461538461538462,0.518218623481781
"CHEMBL2363468",0.648,0.605769230769231,0.497607655502392
"CHEMBL2114826",0.44375,0.697435897435897,0.599451303155007
"CHEMBL3215266",0.526415094339623,0.550724637681159,0.505050505050505
"CHEMBL2363731",0.583916083916084,0.689090909090909,0.578947368421053
"CHEMBL1614479",0.683673469387755,0.746031746031746,0.37037037037037
"CHEMBL3214782",0.453619909502262,0.467741935483871,0.462962962962963
"CHEMBL1614273",0.472222222222222,0.587586206896552,0.42483660130719
"CHEMBL1794400",0.703703703703704,0.642,0.723214285714286
"CHEMBL2363728",0.453781512605042,0.612938596491228,0.5375
"CHEMBL2363568",0.6375,0.526315789473684,0.522727272727273
"CHEMBL2363353",0.665158371040724,0.643055555555555,0.773279352226721
"CHEMBL2363230",0.482954545454545,0.569230769230769,0.661375661375661
"CHEMBL1670561",0.705882352941177,0.703846153846154,0.839901477832512
"CHEMBL1614518",0.385185185185185,0.654589371980676,0.377777777777778
"CHEMBL2363739",0.323886639676113,0.56140350877193,0.580808080808081
"CHEMBL2363558",0.583333333333333,0.583806818181818,0.704761904761905
"CHEMBL2363322",0.690909090909091,0.604938271604938,0.669421487603306
"CHEMBL2363753",0.753968253968254,0.614035087719298,0.513392857142857
"CHEMBL2363348",0.645454545454546,0.5625,0.465587044534413
"CHEMBL1614321",0.601449275362319,0.463054187192118,0.58
